store_id,store_name,description,category,opening_hours,irregular_closures,phone,email,address,Biz_Entertainment_Available,private_room,pets_allowed,target_audience,store_exclusive_events,menu,seasonal_items,allergy_info,gluten_free_info,vegan_info,kids_info,halal_info,reservations,restroom_info,accessibility,parking,nursing_room,access_route,extraction_status,error_message
STR-0001,麻布台ヒルズマーケット,麻布台ヒルズマーケットは、日本の豊かな食文化を伝える33の専門店が集結した食のマーケット。鮮魚、精肉、青果、惣菜、ワイン、パン、スイーツ、生花など幅広い商品を提供し、日常から特別な日まで食卓を豊かにする。,retail,"{""monday"": [{""open"": ""10:00"", ""close"": ""20:00""}], ""tuesday"": [{""open"": ""10:00"", ""close"": ""20:00""}], ""wednesday"": [{""open"": ""10:00"", ""close"": ""20:00""}], ""thursday"": [{""open"": ""10:00"", ""close"": ""20:00""}], ""friday"": [{""open"": ""10:00"", ""close"": ""20:00""}], ""saturday"": [{""open"": ""10:00"", ""close"": ""20:00""}], ""sunday"": [{""open"": ""10:00"", ""close"": ""20:00""}]}",,03-5544-9636,,麻布台ヒルズ ガーデンプラザC 1F・B1F,,,,"[""ファミリー"", ""ビジネス"", ""カップル"", ""単身者""]",Azabudai Hills Market Lab（体験型ワークショップやクラス、試食会などを開催）,,,,,,"{""kids_menu"": null, ""highchair"": null, ""diaper_changing"": null}",,,,,"{""available"": true, ""capacity"": null, ""charge"": ""駐車料金割引サービスあり""}",,,success,
STR-0002,FREUDE by BMW,BMWの世界観を体現するブランド・ストア。希少価値の高いBMWモデルの展示、試乗体験、カフェ・バー、日本料理レストラン、エクスクルーシブ・ラウンジ、アトリエを併設。,retail,"{""monday"": [{""open"": ""11:00"", ""close"": ""22:00""}], ""tuesday"": [{""open"": ""11:00"", ""close"": ""22:00""}], ""wednesday"": [{""open"": ""11:00"", ""close"": ""22:00""}], ""thursday"": [{""open"": ""11:00"", ""close"": ""22:00""}], ""friday"": [{""open"": ""11:00"", ""close"": ""22:00""}], ""saturday"": [{""open"": ""11:00"", ""close"": ""22:00""}], ""sunday"": [{""open"": ""11:00"", ""close"": ""22:00""}]}","[{""type"": ""holiday"", ""date"": ""2025-10-04"", ""reason"": ""営業時間変更 12:00pm〜5:00pm""}, {""type"": ""holiday"", ""date"": ""2025-10-05"", ""reason"": ""営業時間変更 10:00am〜5:00pm""}, {""type"": ""holiday"", ""date"": ""2025-10-24"", ""reason"": ""CAFÉ & BAR B 5:00pm CLOSE""}]",03-3271-7460,,東京都港区麻布台1丁目3-1 麻布台ヒルズ タワープラザ1F/2F,TRUE,"{""available"": true, ""capacity"": 20, ""charge"": ""有料での貸し切り利用可能""}",,"[""BMWオーナー"", ""ビジネス"", ""ラグジュアリー志向""]",BMW iX5 Hydrogenの展示を記念した「FREUDE H2 QUIZ RALLY」クイズラリー（10月1日〜11月10日）、BMW X5 / X6 Edition Shadow ローンチ記念プレゼントキャンペーン with ALCANTARA®（9月17日〜10月19日）,,,,,,"{""kids_menu"": null, ""highchair"": null, ""diaper_changing"": null}",,試乗体験は予約可（受付時間：11:00am〜7:00pm）、エクスクルーシブ・ラウンジは対象オーナー・カード会員のみ利用可,,,"{""available"": null, ""capacity"": null, ""charge"": null}",,東京メトロ日比谷線『神谷町駅』5番出口直結、東京メトロ南北線『六本木一丁目駅』4番出口徒歩2分,success,
STR-0003,千疋屋,1834年創業の老舗果物専門店。麻布台ヒルズ店ではフルーツパーラーとして季節のフルーツを使ったパフェやデザートを提供。,cafe,"{""monday"": ""11:00-20:00"", ""tuesday"": ""11:00-17:30"", ""wednesday"": ""11:00-20:00"", ""thursday"": ""11:00-20:00"", ""friday"": ""11:00-20:00"", ""saturday"": ""11:00-20:00"", ""sunday"": ""11:00-20:00""}",,03-6809-1192,,東京都港区虎ノ門5-9-1 麻布台ヒルズ ガーデンプラザB B1F,,"{""available"": false, ""capacity"": null, ""charge"": null}",,"[""カップル"", ""ファミリー"", ""観光客""]",麻布台ヒルズ店限定 オーダー制フルーツ食べ放題（毎週火曜日11:00-17:30、完全予約制）,"[{""name"": ""夜パフェ 苺"", ""price"": ""価格不明""}, {""name"": ""ストロベリーとル・レクチェのパフェ"", ""price"": ""価格不明""}, {""name"": ""国産渋皮栗のパルフェ"", ""price"": ""価格不明""}, {""name"": ""フルーツサンドイッチ"", ""price"": ""価格不明""}, {""name"": ""ハッシュドビーフ"", ""price"": ""価格不明""}, {""name"": ""ドリンクセット"", ""price"": ""¥495""}]","[{""name"": ""国産渋皮栗のパルフェ"", ""season"": ""秋"", ""price"": ""価格不明""}, {""name"": ""ストロベリーとル・レクチェのパフェ"", ""season"": ""冬"", ""price"": ""価格不明""}]",,,,"{""kids_menu"": null, ""highchair"": null, ""diaper_changing"": null}",,予約不可（オーダー制フルーツ食べ放題は完全予約制）,,,"{""available"": true, ""capacity"": null, ""charge"": null}",,神谷町駅から徒歩224m,success,
STR-0004,大垣書店,麻布台ヒルズ内の書店。ギャラリーNEUTRALとカフェSLow Pageを併設し、本と芸術、くつろぎの空間を提供。,retail,"{""monday"": [{""open"": ""11:00"", ""close"": ""20:00""}], ""tuesday"": [{""open"": ""11:00"", ""close"": ""20:00""}], ""wednesday"": [{""open"": ""11:00"", ""close"": ""20:00""}], ""thursday"": [{""open"": ""11:00"", ""close"": ""20:00""}], ""friday"": [{""open"": ""11:00"", ""close"": ""20:00""}], ""saturday"": [{""open"": ""11:00"", ""close"": ""20:00""}], ""sunday"": [{""open"": ""11:00"", ""close"": ""20:00""}]}",,03-5570-1700,,東京都港区麻布台1-3-1 麻布台ヒルズ タワープラザ4F,,,,,フィリップ・K・ディック展（10/1～10/31開催）,,,,,,,,,,,,,東京メトロ南北線『六本木一丁目駅』2番出口から徒歩4分、東京メトロ日比谷線『神谷町駅』5番出口直結,success,
STR-0005,麺尊RAGE,軍鶏と醤油にこだわったラーメン専門店。麻布台ヒルズ店限定の「ネオ軍鶏そば」を提供。ヴィーガンメニューやお子さま専用メニューも用意。,restaurant,"{""monday"": ""11:00-22:00"", ""tuesday"": ""11:00-22:00"", ""wednesday"": ""11:00-22:00"", ""thursday"": ""11:00-22:00"", ""friday"": ""11:00-22:00"", ""saturday"": ""11:00-22:00"", ""sunday"": ""11:00-22:00""}",,03-6452-9600,,東京都港区虎ノ門5-10-7 麻布台ヒルズガーデンプラザD B1F,,"{""available"": false, ""capacity"": null, ""charge"": null}",,"[""ファミリー"", ""女性"", ""お子さま連れ""]",麻布台ヒルズ店限定「ネオ軍鶏そば」を提供。通常の軍鶏そばに加え、軍鶏肉をトッピングした特別メニュー。,"[{""name"": ""ネオ軍鶏そば"", ""price"": ""価格不明""}, {""name"": ""ネオ特製軍鶏そば"", ""price"": ""2,500円""}, {""name"": ""味玉軍鶏そば"", ""price"": ""価格不明""}, {""name"": ""軍鶏そば"", ""price"": ""価格不明""}, {""name"": ""煮干しそば"", ""price"": ""価格不明""}, {""name"": ""まぜそば"", ""price"": ""価格不明""}, {""name"": ""油そば"", ""price"": ""価格不明""}, {""name"": ""スパイスカレー"", ""price"": ""価格不明""}]",,アレルギー表示あり,,ヴィーガンメニューあり（店内券売機にて確認）,"{""kids_menu"": true, ""highchair"": true, ""diaper_changing"": null}",,予約可（11時〜16時、テーブルチェックでの予約のみ）,,,"{""available"": false, ""capacity"": null, ""charge"": null}",,東京メトロ日比谷線 神谷町駅 5番出口 直結,success,
STR-0006,紅茶専門店TEAPOND,麻布台ヒルズにある日本発の紅茶専門店。茶葉やティーバッグの販売とテイクアウトを提供。,cafe,,,03-5544-9939,,東京都港区麻布台1-2-4 麻布台ヒルズ ガーデンプラザC B1F,,"{""available"": false, ""capacity"": null, ""charge"": null}",,,,"[{""name"": ""アイスティーバッグ スタンドアルミ入り 単品 7個"", ""price"": ""¥1,550""}, {""name"": ""マンゴーヴォヤージュ ティーバッグ"", ""price"": ""¥1,404""}, {""name"": ""チョコレートスィング ティーバッグ"", ""price"": ""¥1,404""}, {""name"": ""袋入り 茶葉 40g"", ""price"": ""¥2,000""}, {""name"": ""ジャストアライブド 袋入り ティーバッグ 2個"", ""price"": ""¥500""}, {""name"": ""袋入り ティーバッグ 7個"", ""price"": ""¥1,400""}, {""name"": ""缶入り 茶葉 40g レギュラー"", ""price"": ""¥2,500""}, {""name"": ""缶入り 茶葉 40g ライズ＆シャイン"", ""price"": ""¥2,600""}, {""name"": ""EARL GREY ROYAL MILK"", ""price"": null}, {""name"": ""LEMON GRASS"", ""price"": null}]","[{""name"": ""アイスティーバッグ スタンドアルミ入り"", ""season"": ""季節限定"", ""price"": ""¥1,550""}]",,,,"{""kids_menu"": null, ""highchair"": null, ""diaper_changing"": null}",,予約不可,,,"{""available"": true, ""capacity"": null, ""charge"": null}",,神谷町駅から299m,success,
STR-0007,ミニマル,麻布台ヒルズ内のBean to Barチョコレート専門店。カカオの食べ比べやペアリング、アフタヌーンティーなど新しいチョコレート体験を提供する隠れ家空間。,cafe,"{""monday"": ""11:00-19:00"", ""tuesday"": ""11:00-19:00"", ""wednesday"": ""11:00-19:00"", ""thursday"": ""11:00-19:00"", ""friday"": ""11:00-19:00"", ""saturday"": ""11:00-19:00"", ""sunday"": ""11:00-19:00""}",,050-1809-0420,,東京都港区虎ノ門5-8-1 麻布台ヒルズ ガーデンプラザA 2F,TRUE,"{""available"": false, ""capacity"": null, ""charge"": null}",,"[""カップル"", ""一人客"", ""大人""]",10～11月限定 Minimal チョコレートアフタヌーンティー vol.7、和栗やさつま芋を使った秋限定のおまかせデザートコース,"[{""name"": ""Minimal チョコレートアフタヌーンティー vol.7"", ""price"": ""7,900円""}, {""name"": ""Minimal カカオ・チョコレートのデザートコース（アルコール）"", ""price"": ""7,900円""}, {""name"": ""Minimal カカオ・チョコレートのデザートコース（ノンアルコール）"", ""price"": ""7,900円""}, {""name"": ""ザ・シングルオリジン（ボンボンショコラ8か国）"", ""price"": ""3,980円""}, {""name"": ""チョコレートクッキー缶（5種詰め合わせ）"", ""price"": ""5,990円""}, {""name"": ""フィナンシェ2種詰め合わせセット"", ""price"": ""3,950円""}, {""name"": ""ミニマルバウム"", ""price"": ""2,480円""}, {""name"": ""生ガトーショコラ -PRIME-"", ""price"": ""4,490円""}, {""name"": ""ガトーショコラ ソフト -金蜜芋-"", ""price"": ""3,990円""}, {""name"": ""ガトーショコラ ソフト -レモン-"", ""price"": ""3,990円""}]","[{""name"": ""ガトーショコラ ソフト -金蜜芋-"", ""season"": ""秋"", ""price"": ""3,990円""}, {""name"": ""和栗のモンブラングラスパフェ（アフタヌーンティー）"", ""season"": ""10～11月"", ""price"": ""7,900円に含まれる""}, {""name"": ""SEASONAL ペルー75%"", ""season"": ""季節限定"", ""price"": ""1,790円""}, {""name"": ""SEASONAL ベネズエラ80%"", ""season"": ""季節限定"", ""price"": ""1,790円""}]",アレルギー表示あり,,,"{""kids_menu"": null, ""highchair"": null, ""diaper_changing"": null}",,予約可（Web予約・電話予約）,,バリアフリー、車椅子で入店可,"{""available"": true, ""capacity"": null, ""charge"": ""麻布台ヒルズ内パーキング""}",,東京メトロ日比谷線 神谷町駅 5番出口直結：徒歩3分、東京メトロ南北線 六本木一丁目駅：徒歩12分,success,
STR-0008,オルビー,イギリス発インテリアショップ「THE CONRAN SHOP」が手掛ける国内初のレストラン。モダンフレンチをベースにブリティッシュ要素を加えた料理とナチュラルワインを上質な空間で提供。,restaurant,"{""monday"": [{""open"": ""11:30"", ""close"": ""15:00""}, {""open"": ""17:30"", ""close"": ""22:00""}], ""tuesday"": ""closed"", ""wednesday"": [{""open"": ""11:30"", ""close"": ""15:00""}, {""open"": ""17:30"", ""close"": ""22:00""}], ""thursday"": [{""open"": ""11:30"", ""close"": ""15:00""}, {""open"": ""17:30"", ""close"": ""22:00""}], ""friday"": [{""open"": ""11:30"", ""close"": ""15:00""}, {""open"": ""17:30"", ""close"": ""22:00""}], ""saturday"": [{""open"": ""11:00"", ""close"": ""15:00""}, {""open"": ""15:00"", ""close"": ""17:00""}, {""open"": ""17:00"", ""close"": ""22:00""}], ""sunday"": [{""open"": ""11:00"", ""close"": ""15:00""}, {""open"": ""15:00"", ""close"": ""17:00""}, {""open"": ""17:00"", ""close"": ""22:00""}]}","[{""type"": ""holiday"", ""date"": null, ""reason"": ""火曜日""}]",03-6834-4700,,東京都港区麻布台1-3-1 麻布台ヒルズ タワープラザ 3F,TRUE,"{""available"": false, ""capacity"": null, ""charge"": null}",,"[""ビジネス"", ""接待"", ""記念日"", ""デート"", ""ファミリー"", ""女子会"", ""パーティー""]",,"[{""name"": ""イエロービーツとアンディーヴ　シェーヴルチーズのサラダ"", ""price"": ""2,500円""}, {""name"": ""有機野菜のロースト　ロメスコソース"", ""price"": ""2,800円""}, {""name"": ""フレッシュ・オイスター 2pieces"", ""price"": ""1,400円""}, {""name"": ""フィッシュ＆チップス"", ""price"": ""2,800円""}, {""name"": ""シャルキュトリーの盛り合わせ"", ""price"": ""3,200円""}, {""name"": ""鶏白レバーのムース"", ""price"": ""1,200円""}, {""name"": ""豚肉のリエット"", ""price"": ""1,200円""}, {""name"": ""パテ・ド・カンパーニュ"", ""price"": ""1,500円""}, {""name"": ""本日の鮮魚と国産ムール貝のブイヤベース"", ""price"": ""4,800円""}, {""name"": ""蝦夷鹿もも肉のウェリントン　シェリーヴィネガーソース"", ""price"": ""5,800円""}]",,アレルギー対応可能（要相談）,,ベジタリアンメニューあり,"{""kids_menu"": false, ""highchair"": false, ""diaper_changing"": null}",,予約可（電話・Web）,,車椅子で入店可、ベビーカー入店可,"{""available"": true, ""capacity"": null, ""charge"": ""麻布台ヒルズ地下駐車場利用""}",,東京メトロ日比谷線 神谷町駅 5番出口 直結 徒歩10分～15分、南北線 六本木一丁目駅 徒歩10分,success,
STR-0009,バルコニーバイシックス,麻布台ヒルズに位置するオールデイダイニング。イタリアンベースの多国籍料理を提供し、開放的なテラス席と洗練された店内でモーニングからバーまで楽しめる。,restaurant,"{""monday"": [{""open"": ""08:00"", ""close"": ""10:30""}, {""open"": ""11:00"", ""close"": ""14:30""}, {""open"": ""11:00"", ""close"": ""17:30""}, {""open"": ""17:30"", ""close"": ""23:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""10:30""}, {""open"": ""11:00"", ""close"": ""14:30""}, {""open"": ""11:00"", ""close"": ""17:30""}, {""open"": ""17:30"", ""close"": ""23:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""10:30""}, {""open"": ""11:00"", ""close"": ""14:30""}, {""open"": ""11:00"", ""close"": ""17:30""}, {""open"": ""17:30"", ""close"": ""23:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""10:30""}, {""open"": ""11:00"", ""close"": ""14:30""}, {""open"": ""11:00"", ""close"": ""17:30""}, {""open"": ""17:30"", ""close"": ""23:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""10:30""}, {""open"": ""11:00"", ""close"": ""14:30""}, {""open"": ""11:00"", ""close"": ""17:30""}, {""open"": ""17:30"", ""close"": ""23:00""}], ""saturday"": [{""open"": ""07:45"", ""close"": ""10:30""}, {""open"": ""11:00"", ""close"": ""15:00""}, {""open"": ""11:00"", ""close"": ""17:30""}, {""open"": ""17:30"", ""close"": ""23:00""}], ""sunday"": [{""open"": ""07:45"", ""close"": ""10:30""}, {""open"": ""11:00"", ""close"": ""15:00""}, {""open"": ""11:00"", ""close"": ""17:30""}, {""open"": ""17:30"", ""close"": ""23:00""}]}",,03-6459-1603,,東京都港区麻布台1-3-1 ヒルズタワープラザ 3F,TRUE,"{""available"": false, ""capacity"": null, ""charge"": null}",ペット可（テラス席）,"[""ファミリー"", ""デート"", ""ビジネス"", ""カップル""]",,"[{""name"": ""6th パンケーキ"", ""price"": ""2,000円""}, {""name"": ""6th パンケーキ アメリカンスタイル"", ""price"": ""2,700円""}, {""name"": ""モーニングプレート"", ""price"": ""2,300円""}, {""name"": ""バスクチーズケーキ"", ""price"": ""1,200円""}, {""name"": ""ブッラータチーズとナガノパープル"", ""price"": ""3,000円""}, {""name"": ""馬肉とエノキのタルターラ"", ""price"": ""2,500円""}, {""name"": ""蟹のクリスピーライス(2P)"", ""price"": ""800円""}, {""name"": ""THE ビーフ　TACOS"", ""price"": ""900円""}, {""name"": ""黒毛和牛 フィレのグリル"", ""price"": ""9,800円""}, {""name"": ""和牛ラグーとアイコトマト　ピチ"", ""price"": ""2,500円""}]","[{""name"": ""栗のバスクチーズケーキ"", ""season"": ""秋（9/6~10/31）"", ""price"": ""販売価格未記載""}, {""name"": ""シャインマスカットのパフェ"", ""season"": ""秋"", ""price"": ""1,500円""}, {""name"": ""丹波栗のミルフィーユ"", ""season"": ""秋"", ""price"": ""1,400円""}]",,,ヴィーガンメニューあり（ヴィーガングラノーラ、ヴィーガンキヌアサラダ）,"{""kids_menu"": true, ""highchair"": true, ""diaper_changing"": null}",,予約可（電話・Web）,,車椅子で入店可、バリアフリー対応,"{""available"": true, ""capacity"": null, ""charge"": ""3,000円以上で1時間無料、6,000円以上で2時間無料、20,000円以上で4時間無料""}",,東京メトロ日比谷線神谷町駅5番出口直結、東京メトロ南北線六本木一丁目駅2番出口から徒歩4分,success,
STR-0010,PARK6,六本木ヒルズ内のカフェ＋ワークラウンジ。平日はランチビュッフェ、土日は本格ピッツァを提供。電源・Wi-Fi完備でビジネス利用にも最適。,cafe,"{""monday"": [{""open"": ""10:00"", ""close"": ""21:00""}], ""tuesday"": [{""open"": ""10:00"", ""close"": ""21:00""}], ""wednesday"": [{""open"": ""10:00"", ""close"": ""21:00""}], ""thursday"": [{""open"": ""10:00"", ""close"": ""21:00""}], ""friday"": [{""open"": ""10:00"", ""close"": ""21:00""}], ""saturday"": [{""open"": ""11:00"", ""close"": ""19:00""}], ""sunday"": [{""open"": ""11:00"", ""close"": ""19:00""}]}",,03-6434-0546,,東京都港区六本木6-10-1 六本木ヒルズ森タワー ウェストウォーク6F,TRUE,"{""available"": true, ""capacity"": ""4～12名"", ""charge"": ""4名部屋：4,000円/1時間、8名部屋：7,000円/1時間、12名部屋：11,000円/1時間""}",,"[""ビジネスパーソン"", ""ファミリー"", ""一人客""]",,"[{""name"": ""ピッツァ・マルゲリータ"", ""price"": ""1,200円""}, {""name"": ""ピッツァ・ゴルゴンゾーラ"", ""price"": ""1,300円""}, {""name"": ""ピッツァ・バンビーナ"", ""price"": ""1,300円""}, {""name"": ""ピッツァ・オルトラーナ"", ""price"": ""1,500円""}, {""name"": ""ピッツァ・サラーメ"", ""price"": ""1,500円""}, {""name"": ""ピッツァ・プロシュート"", ""price"": ""1,600円""}, {""name"": ""シーザーサラダ"", ""price"": ""600円""}, {""name"": ""グリーンサラダ"", ""price"": ""600円""}, {""name"": ""フライドポテト"", ""price"": ""600円""}, {""name"": ""トリュフ＆チーズポテト"", ""price"": ""900円""}]",,,,,"{""kids_menu"": null, ""highchair"": null, ""diaper_changing"": null}",,予約可（電話・Web）,,バリアフリー,"{""available"": true, ""capacity"": null, ""charge"": ""六本木ヒルズ駐車場をご利用ください""}",,日比谷線六本木駅1C出口から徒歩2分、大江戸線六本木駅3出口から徒歩6分、大江戸線麻布十番駅7出口から徒歩7分,success,
