store_id,store_name,source,source2,source3,source4
STR-0001,麻布台ヒルズマーケット,https://www.azabudai-hills.com/azabudaihillsmarket/index.html,,,
STR-0002,FREUDE by BMW,https://www.bmw.com/ja/freude-by-bmw.html,,,
STR-0003,千疋屋,https://www.sembikiya.co.jp/,https://tabelog.com/tokyo/A1307/A130704/13291769/,https://tabelog.com/tokyo/A1307/A130704/13291769/dtlmenu/photo/,
STR-0004,大垣書店,https://www.books-ogaki.co.jp/stores/%E9%BA%BB%E5%B8%83%E5%8F%B0%E3%83%92%E3%83%AB%E3%82%BA%E5%BA%97,,,
STR-0005,麺尊RAGE,https://www.menson-rage.net/,https://tabelog.com/tokyo/A1307/A130704/13291538/,https://tabelog.com/tokyo/A1307/A130704/13291538/dtlmenu/photo/,
STR-0006,紅茶専門店TEAPOND,https://teapond.jp/,https://tabelog.com/tokyo/A1307/A130701/13292483/,https://tabelog.com/tokyo/A1307/A130701/13292483/dtlmenu/photo/,
STR-0007,ミニマル,https://mini-mal.tokyo/pages/access#azabudaihills,https://tabelog.com/tokyo/A1307/A130704/13291802/,https://tabelog.com/tokyo/A1307/A130704/13291802/dtlmenu/,
STR-0008,オルビー,https://www.azabudai-hills.com/shop_list/0050.html,https://tabelog.com/tokyo/A1307/A130701/13291565/,https://tabelog.com/tokyo/A1307/A130701/13291565/dtlmenu/,
STR-0009,バルコニーバイシックス,https://balconyby6th.com/balcony/,https://tabelog.com/tokyo/A1307/A130701/13290916/,https://tabelog.com/tokyo/A1307/A130701/13290916/dtlmenu/,
STR-0010,PARK6,https://www.park6.jp/,https://tabelog.com/tokyo/A1307/A130701/13215589/,https://tabelog.com/tokyo/A1307/A130701/13215589/dtlmenu/,https://tabelog.com/tokyo/A1307/A130701/13215589/dtlmenu/drink/
STR-0011,コンランショップ,https://www.conranshop.jp/brand/stores?c=19,,,
STR-0012,エルメス,https://www.hermes.com/jp/ja/find-store/japan/tokyo/hermes-azabudai-hills-PG5SZH3H/,,,
STR-0013,UA,https://store.united-arrows.co.jp/brand/ua/stores/uahw.html?srsltid=AfmBOorgmYTxy7mn4E1OcYp8Hk13dAmBTrodz6d-YigPtmu-rGLN0gr0,,,
STR-0014,洋菓子店クリオロ,https://ecolecriollo.com/shop-azabudaihills/,,,
STR-0015,ギャラリー&レストラン舞台裏,https://artsticker.app/ja/butaiura,,,
STR-0016,エイタブリッシュ,https://8ablish.com/pages/stores,https://tabelog.com/tokyo/A1307/A130704/13291765/,https://tabelog.com/tokyo/A1307/A130704/13291765/dtlmenu/,https://tabelog.com/tokyo/A1307/A130704/13291765/dtlmenu/drink/
STR-0017,HARBS,https://www.harbs.co.jp/story/,https://tabelog.com/tokyo/A1307/A130704/13291858/,https://www.harbs.co.jp/menu_cake_flag/,
STR-0018,中村藤吉麻布台,https://tokichi.jp/pages/azabudai-store-page?srsltid=AfmBOoqYvLreIFN385Du-kVFqtYnBQfu5ifiUKdoL9Y0wMoV2hRMwldD,,,
STR-0019,カルトゥージア,https://carthusia.jp/?srsltid=AfmBOoorP-fw6u8LFfz0xtLG8vVHIroMAkhnFUgyjNVVM-6UVVqiFWzW,,,
STR-0020,ル グランド クローゼット ドゥ パリゴ,https://www.parigot.jp/f/azabudai_hills?srsltid=AfmBOorE0rQIJRUi0Q36c_pNYlFoJ8QK4AeukeN1zlljIYLxbX6ITaOO,,,
STR-0021,ボッテガ・ヴェネタ,https://www.bottegaveneta.com/ja-jp/azabudai-hills/azabudai-hills.html,,,
